Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FARO,FARO Technologies Inc. Common Stock,$70.34,-1.81,-2.509%,1280452689.00,United States,1997,56893,Capital Goods,Industrial Machinery/Components
FCUV,Focus Universal Inc. Common Stock,$14.36,0.58,4.209%,621209881.00,United States,,127247,Capital Goods,Industrial Machinery/Components
FEIM,Frequency Electronics Inc. Common Stock,$9.69,-0.31,-3.10%,89593159.00,United States,,5646,Capital Goods,Electrical Products
FFHL,Fuwei Films (Holdings) Co. Ltd. Ordinary Shares,$7.96,-0.14,-1.728%,25996063.00,China,2006,7153,Capital Goods,Specialty Chemicals
FFIE,Faraday Future Intelligent Electric Inc. Common Stock,$5.51,-0.15,-2.65%,162635976.00,United States,2020,1129029,Capital Goods,Auto Manufacturing
FFIEW,Faraday Future Intelligent Electric Inc. Warrant,$1.1299,-0.0349,-2.996%,0.00,United States,2020,78016,Capital Goods,Auto Manufacturing
FLDM,Fluidigm Corporation Common Stock,$4.17,-0.31,-6.92%,318945085.00,United States,2011,327249,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FLUX,Flux Power Holdings Inc. Common Stock,$4.98,-0.25,-4.78%,79617760.00,United States,,54389,Capital Goods,Electrical Products
FTEK,Fuel Tech Inc. Common Stock,$1.53,-0.10,-6.135%,46303600.00,United States,,176600,Capital Goods,Pollution Control Equipment
GAIA,Gaia Inc. Class A Common Stock,$8.40,-0.16,-1.869%,162271091.00,United States,1999,22156,Capital Goods,Industrial Machinery/Components
GBS,GBS Inc. Common Stock,$1.71,-0.08,-4.469%,25449113.00,United States,2020,230173,Capital Goods,Industrial Machinery/Components
GENC,Gencor Industries Inc. Common Stock,$11.47,-0.05,-0.434%,167659215.00,United States,,10312,Capital Goods,Construction/Ag Equipment/Trucks
GEOS,Geospace Technologies Corporation Common Stock (Texas),$8.24,0.11,1.353%,106440810.00,United States,,17000,Capital Goods,Industrial Machinery/Components
GIFI,Gulf Island Fabrication Inc. Common Stock,$4.04,-0.03,-0.737%,62829640.00,United States,1997,10053,Capital Goods,Metal Fabrications
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,$15.43,-0.23,-1.469%,1014314565.00,United States,,126694,Capital Goods,Oilfield Services/Equipment
GNSS,Genasys Inc. Common Stock,$4.04,-0.18,-4.265%,147388076.00,United States,,71700,Capital Goods,Industrial Machinery/Components
GNTX,Gentex Corporation Common Stock,$35.05,-0.34,-0.961%,8290028839.00,United States,,856589,Capital Goods,Auto Parts:O.E.M.
GP,GreenPower Motor Company Inc. Common Shares,$12.61,-0.26,-2.02%,280104165.00,Canada,,72780,Capital Goods,Auto Parts:O.E.M.
GRBK,Green Brick Partners Inc. Common Stock,$30.87,-0.87,-2.741%,1566960336.00,United States,,416628,Capital Goods,Homebuilding
GTX,Garrett Motion Inc. Common Stock,$7.16,-0.13,-1.783%,465849691.00,Switzerland,,168968,Capital Goods,Auto Parts:O.E.M.
GTXAP,Garrett Motion Inc. Series A Cumulative Convertible Preferred Stock,$7.98,0.03,0.377%,0.00,Switzerland,,218423,Capital Goods,Auto Parts:O.E.M.
HAIN,Hain Celestial Group Inc. (The) Common Stock,$38.97,0.61,1.59%,3619590301.00,United States,,775001,Capital Goods,Office Equipment/Supplies/Services
HBIO,Harvard Bioscience Inc. Common Stock,$6.97,-0.13,-1.831%,284449290.00,United States,2000,109506,Capital Goods,Biotechnology: Laboratory Analytical Instruments
